section,name,value
sizes,train,94603
sizes,val,11826
sizes,test,11825
row_overlap,train__val,0
row_overlap,train__test,0
row_overlap,val__test,0
pair_overlap,train__val,0
pair_overlap,train__test,0
pair_overlap,val__test,0
drug_overlap,train__val,1842
drug_overlap,train__test,1813
drug_overlap,val__test,1658
target_overlap,train__val,227
target_overlap,train__test,223
target_overlap,val__test,221
scaffold_overlap,train__val,1095
scaffold_overlap,train__test,1089
scaffold_overlap,val__test,1005
validation,ok,True
validation,violations,[]
validation,empty_splits,[]
